time,origin,destination,value
48,53,53,3.95
48,114,115,7.3
48,65,103,15.8
48,13,14,8.8
48,40,78,11.3
48,40,118,46.59
48,126,127,5.8
48,14,42,20.76
48,27,38,6.35
48,79,89,11.8
48,89,77,9.95
48,53,40,7.0
48,114,63,17.25
48,64,165,26.3
48,65,63,13.55
48,104,77,14.3
48,90,103,8.75
48,53,52,6.96
48,64,78,9.96
48,78,77,10.3
48,103,66,14.76
48,92,3,27.65
48,89,77,10.55
48,65,53,5.8
48,2,42,26.16
48,92,104,5.76
48,39,65,14.15
48,41,14,15.0
48,89,127,13.8
48,52,53,8.16
48,104,65,18.48
48,3,38,23.79
48,67,53,12.36
48,2,51,23.15
48,78,1,87.3
48,64,66,9.3
48,79,14,25.3
48,79,91,4.3
48,76,65,8.8
48,79,89,9.3
48,101,78,14.15
48,53,64,11.15
48,91,65,17.15
48,2,2,4.3
48,114,126,5.76
48,115,78,16.83
48,104,116,11.75
48,26,38,7.82
48,105,66,12.36
48,89,65,10.75
48,52,66,14.15
48,40,63,15.96
48,2,14,8.8
48,52,78,8.8
48,76,14,25.3
48,64,66,9.96
48,113,27,23.06
48,52,78,11.81
48,66,67,19.3
48,66,78,8.75
48,101,77,12.8
48,92,14,29.8
48,79,129,15.8
48,53,78,17.16
48,88,63,7.8
48,79,66,10.38
48,79,52,16.56
48,118,14,68.81
48,26,38,7.88
48,79,115,16.3
48,66,53,11.0
48,66,63,19.55
48,40,78,20.8
48,65,103,18.96
48,52,65,8.4
48,79,92,8.8
48,28,40,7.3
48,91,129,13.53
48,53,65,8.75
48,66,66,7.8
48,78,78,4.3
48,52,77,13.3
48,92,76,21.3
48,93,66,34.34
48,41,77,14.3
48,2,50,24.95
48,76,53,11.15
48,65,52,12.88
48,76,14,19.75
48,116,129,8.8
48,88,100,10.35
48,88,92,18.3
48,38,78,18.3
48,79,2,35.8
48,78,40,13.8
48,40,39,6.3
48,103,78,10.3
48,54,66,6.3
48,92,64,21.35
48,53,65,8.16
48,78,80,11.76
48,78,65,8.16
48,88,177,30.36
48,64,76,12.96
48,53,16,21.3
48,52,91,15.96
48,76,75,8.3
48,64,63,3.8
48,15,29,12.3
48,93,80,9.3
48,77,66,6.96
48,92,78,10.8
48,78,129,16.3
48,41,17,23.3
48,92,129,11.8
48,93,80,5.3
48,104,91,8.5
48,54,65,11.76
48,64,77,8.3
48,80,80,6.8
48,103,78,11.85
48,80,78,11.75
48,76,76,6.8
48,79,2,28.8
48,65,177,40.3
48,89,80,17.8
48,41,14,11.8
48,104,2,28.3
48,91,92,8.8
48,64,77,8.8
48,42,14,15.3
48,64,66,13.8
48,52,40,7.55
48,77,67,8.8
48,104,129,9.36
48,64,63,5.3
48,77,66,10.3
48,14,38,9.3
48,64,79,14.8
48,50,63,6.96
48,41,2,20.15
48,78,79,8.75
48,29,77,21.95
48,90,65,10.56
48,92,64,24.95
48,91,103,8.16
48,104,93,14.0
48,77,104,14.75
48,66,14,19.3
48,64,65,8.3
48,64,66,11.8
48,80,66,14.8
48,53,42,11.16
48,64,65,11.76
48,104,78,11.16
48,118,17,49.3
48,39,118,45.41
48,88,89,5.8
48,118,2,62.81
48,64,78,10.8
48,118,78,55.34
48,126,138,24.3
48,79,66,10.56
48,53,118,34.34
48,17,18,11.3
48,104,104,4.8
48,80,1,191.79
48,89,78,7.8
48,53,64,9.8
48,92,54,16.3
48,102,91,11.75
48,53,78,12.95
48,116,104,9.3
48,89,90,9.3
48,27,40,10.8
48,79,116,12.36
48,102,89,8.8
48,40,62,11.76
48,88,50,18.5
48,79,66,12.95
48,104,78,12.96
48,92,51,25.56
48,79,14,29.15
48,89,77,9.35
48,78,65,8.15
48,91,78,9.59
48,17,18,27.3
48,78,89,7.3
48,64,27,17.3
48,63,77,12.36
48,64,53,7.8
48,62,14,14.75
48,90,66,8.5
48,64,65,7.25
48,29,66,23.84
48,17,2,8.3
48,64,14,22.8
48,79,78,14.15
48,92,50,24.3
48,104,77,18.35
48,65,78,6.3
48,91,78,11.3
48,92,105,6.3
48,53,64,10.12
48,91,103,9.95
48,92,92,6.35
48,92,91,6.55
48,76,51,10.3
48,66,92,13.55
48,104,66,16.8
48,91,78,10.55
48,79,91,5.75
48,92,53,19.55
48,40,16,12.3
48,77,78,4.8
48,105,118,33.34
48,102,66,16.56
48,67,104,12.96
48,26,78,28.3
48,104,91,9.95
48,79,77,14.75
48,66,40,10.8
48,13,2,7.8
48,89,53,23.5
48,53,65,13.7
48,118,78,56.05
48,17,17,6.3
48,65,76,11.3
48,103,90,7.56
48,40,50,12.3
48,41,50,10.8
48,65,64,8.3
48,91,92,5.8
48,79,78,5.3
48,64,63,7.3
48,101,101,5.3
48,129,117,5.3
48,17,177,64.34
48,40,17,65.24
48,14,26,6.8
48,93,65,5.85
48,66,15,26.8
48,14,2,9.75
48,77,89,9.36
48,103,177,29.16
48,79,53,9.8
48,101,77,10.56
48,50,51,5.8
48,76,66,9.3
48,92,3,22.8
48,92,103,5.8
48,91,92,5.8
48,114,102,10.7
48,41,27,9.96
48,54,66,6.8
48,104,65,17.8
48,78,17,67.34
48,104,78,14.76
48,52,63,10.55
48,139,40,38.16
48,78,102,12.0
48,77,65,7.8
48,65,66,8.16
48,26,40,14.15
48,40,66,18.55
48,91,78,9.36
48,104,77,16.3
48,101,113,8.16
48,26,14,9.8
48,89,64,8.3
48,52,2,38.76
